region,model,data_mode,order,mae,rmse,mse,wis,int_cov90,int_cov80,int_cov70,int_wid90,int_wid80,int_wid70
tx,ARIMA,versioned,"(1, 1, 0)",0.5840335474507725,0.5840335474507725,0.9634658305833739,0.4459453679930528,0.9745762711864406,0.9322033898305084,0.9067796610169492,5.092432856810286,3.967657178208311,3.2087763677400702
tx,TimesFM,finalized,,0.5444592237472534,0.5444592037948511,0.7367940545082092,0.28390270471572876,0.788135593220339,0.7711864406779662,0.673728813559322,1.7948473691940308,1.6881811618804932,1.4367214441299438
tx,ARIMA,finalized,"(2, 1, 0)",0.7123220620417569,0.7123220620417569,1.5862978646867472,0.5088145602766195,0.9661016949152542,0.923728813559322,0.8813559322033898,5.115667370249443,3.9857598388856657,3.2234165917225632
va,TimesFM,versioned,,0.2946777939796448,0.2946777861502211,0.2881706953048706,0.1688275933265686,0.8389830508474576,0.826271186440678,0.788135593220339,1.13241446018219,1.0647329092025757,0.9035066366195679
va,ARIMA,versioned,"(2, 1, 0)",0.3650444075517196,0.3650444075517196,0.6216300261878769,0.3393502256930366,0.9661016949152542,0.9449152542372882,0.9279661016949152,3.8103272724040003,2.968732780336752,2.400912972017792
va,TimesFM,finalized,,0.32556992769241333,0.3255699314808441,0.3668685257434845,0.1737702637910843,0.8389830508474576,0.8220338983050848,0.7457627118644068,1.1567928791046143,1.0884226560592651,0.9234243631362915
va,ARIMA,finalized,"(1, 1, 0)",0.5902773525702135,0.5902773525702135,1.2739757880101792,0.44308972083912085,0.9152542372881356,0.885593220338983,0.864406779661017,3.8146412773947436,2.9720939425453925,2.4036312557249793
wv,TimesFM,versioned,,0.39647209644317627,0.3964720631681256,0.46143391728401184,0.23145346343517303,0.8177966101694916,0.8008474576271186,0.7669491525423728,1.27324378490448,1.1902251243591309,1.0160311460494995
wv,ARIMA,versioned,"(1, 1, 0)",0.5583714115865319,0.5583714115865319,0.846865665058064,0.373825795749221,0.9491525423728814,0.9279661016949152,0.8728813559322034,3.4754289424450686,2.70780410435931,2.189891270409941
wv,TimesFM,finalized,,0.41677454113960266,0.4167745813601098,0.4906806945800781,0.2420610636472702,0.8050847457627118,0.7711864406779662,0.6949152542372882,1.3627169132232666,1.2750409841537476,1.08804452419281
wv,ARIMA,finalized,"(1, 1, 0)",0.517437645211461,0.517437645211461,0.7874766686647665,0.36623410535213785,0.9279661016949152,0.9152542372881356,0.8813559322033898,3.4813422593882377,2.712411335338351,2.1936172913896432
wi,TimesFM,versioned,,0.23724129796028137,0.23724131046210306,0.1964145302772522,0.13655777275562286,0.847457627118644,0.8347457627118644,0.8008474576271186,0.8660835027694702,0.8164387345314026,0.694743812084198
wi,ARIMA,versioned,"(1, 1, 0)",0.22466457437229734,0.22466457437229734,0.16301948093575577,0.18786931793476466,0.961864406779661,0.940677966101695,0.9322033898305084,2.102111017992174,1.6378136157010792,1.3245543626321388
wi,TimesFM,finalized,,0.28720352053642273,0.2872035385946096,0.32420897483825684,0.1683131754398346,0.826271186440678,0.8177966101694916,0.7542372881355932,0.9118612408638,0.8596619367599487,0.7323504686355591
wi,ARIMA,finalized,"(2, 1, 0)",0.3210480839526106,0.3210480839526106,0.40978701205879803,0.24846546587267787,0.9279661016949152,0.8813559322033898,0.8728813559322034,2.115562090552927,1.6482937233629604,1.3330299743814389
wy,TimesFM,versioned,,0.610005259513855,0.6100052804922906,1.0442888736724854,0.3412930369377136,0.7584745762711864,0.7245762711864406,0.6483050847457628,1.5527069568634033,1.4504104852676392,1.241996169090271
wy,ARIMA,versioned,"(1, 1, 0)",0.7113986580012859,0.7113986580012859,1.3353642649980013,0.46777414030348996,0.8601694915254238,0.826271186440678,0.7838983050847458,3.2948341927832505,2.5670976728775083,2.076097297833983
wy,TimesFM,finalized,,0.5961668491363525,0.5961668510779233,0.9716669321060181,0.30597272515296936,0.7711864406779662,0.7627118644067796,0.6652542372881356,1.628866195678711,1.5230239629745483,1.3029844760894775
wy,ARIMA,finalized,"(1, 1, 0)",0.70457793990859,0.70457793990859,1.546633857688679,0.49820962318904066,0.8601694915254238,0.8135593220338984,0.7838983050847458,3.292123071672408,2.564985362428086,2.0743890020949602
